ID,Exchange,Instrument,Market Active?,REST API root,Search helper
1879,binance,blzeth,true,https://api.cryptowat.ch/markets/binance/blzeth,binance blzeth
1799,binance,bnbbtc,true,https://api.cryptowat.ch/markets/binance/bnbbtc,binance bnbbtc
61238,binance,bnbbusd,true,https://api.cryptowat.ch/markets/binance/bnbbusd,binance bnbbusd
1880,binance,bnbeth,true,https://api.cryptowat.ch/markets/binance/bnbeth,binance bnbeth
61601,binance,bnbeur,true,https://api.cryptowat.ch/markets/binance/bnbeur,binance bnbeur
61338,binance,bnbngn,true,https://api.cryptowat.ch/markets/binance/bnbngn,binance bnbngn
5648,binance,bnbpax,true,https://api.cryptowat.ch/markets/binance/bnbpax,binance bnbpax
61484,binance,bnbrub,true,https://api.cryptowat.ch/markets/binance/bnbrub,binance bnbrub
50910,binance,bnbtusd,true,https://api.cryptowat.ch/markets/binance/bnbtusd,binance bnbtusd
6634,binance,bnbusdc,true,https://api.cryptowat.ch/markets/binance/bnbusdc,binance bnbusdc
29772,binance,bnbusds,true,https://api.cryptowat.ch/markets/binance/bnbusds,binance bnbusds
2116,binance,bnbusdt,true,https://api.cryptowat.ch/markets/binance/bnbusdt,binance bnbusdt
942,binance,bntbtc,true,https://api.cryptowat.ch/markets/binance/bntbtc,binance bntbtc
61784,binance,bntbusd,true,https://api.cryptowat.ch/markets/binance/bntbusd,binance bntbusd
935,binance,bnteth,true,https://api.cryptowat.ch/markets/binance/bnteth,binance bnteth
61783,binance,bntusdt,true,https://api.cryptowat.ch/markets/binance/bntusdt,binance bntusdt
2123,binance,brdbnb,true,https://api.cryptowat.ch/markets/binance/brdbnb,binance brdbnb
1882,binance,brdbtc,true,https://api.cryptowat.ch/markets/binance/brdbtc,binance brdbtc
1883,binance,brdeth,true,https://api.cryptowat.ch/markets/binance/brdeth,binance brdeth
5585,binance,bsvbtc,FALSE,https://api.cryptowat.ch/markets/binance/bsvbtc,binance bsvbtc
11371,binance,bsvpax,FALSE,https://api.cryptowat.ch/markets/binance/bsvpax,binance bsvpax
11372,binance,bsvtusd,FALSE,https://api.cryptowat.ch/markets/binance/bsvtusd,binance bsvtusd
11373,binance,bsvusdc,FALSE,https://api.cryptowat.ch/markets/binance/bsvusdc,binance bsvusdc
5586,binance,bsvusdt,FALSE,https://api.cryptowat.ch/markets/binance/bsvusdt,binance bsvusdt
61239,binance,btcbusd,true,https://api.cryptowat.ch/markets/binance/btcbusd,binance btcbusd
61599,binance,btceur,true,https://api.cryptowat.ch/markets/binance/btceur,binance btceur
61339,binance,btcngn,true,https://api.cryptowat.ch/markets/binance/btcngn,binance btcngn
5649,binance,btcpax,true,https://api.cryptowat.ch/markets/binance/btcpax,binance btcpax
61481,binance,btcrub,true,https://api.cryptowat.ch/markets/binance/btcrub,binance btcrub
50911,binance,btctusd,true,https://api.cryptowat.ch/markets/binance/btctusd,binance btctusd
6630,binance,btcusdc,true,https://api.cryptowat.ch/markets/binance/btcusdc,binance btcusdc
29773,binance,btcusds,true,https://api.cryptowat.ch/markets/binance/btcusds,binance btcusds
579,binance,btcusdt,true,https://api.cryptowat.ch/markets/binance/btcusdt,binance btcusdt
610,binance,btgbtc,true,https://api.cryptowat.ch/markets/binance/btgbtc,binance btgbtc
611,binance,btgeth,true,https://api.cryptowat.ch/markets/binance/btgeth,binance btgeth
1886,binance,btsbnb,FALSE,https://api.cryptowat.ch/markets/binance/btsbnb,binance btsbnb
625,binance,btsbtc,true,https://api.cryptowat.ch/markets/binance/btsbtc,binance btsbtc
61781,binance,btsbusd,true,https://api.cryptowat.ch/markets/binance/btsbusd,binance btsbusd
1888,binance,btseth,true,https://api.cryptowat.ch/markets/binance/btseth,binance btseth
61780,binance,btsusdt,true,https://api.cryptowat.ch/markets/binance/btsusdt,binance btsusdt
29774,binance,bttbnb,true,https://api.cryptowat.ch/markets/binance/bttbnb,binance bttbnb
29775,binance,bttbtc,FALSE,https://api.cryptowat.ch/markets/binance/bttbtc,binance bttbtc
61945,binance,bttbusd,true,https://api.cryptowat.ch/markets/binance/bttbusd,binance bttbusd
29776,binance,bttpax,true,https://api.cryptowat.ch/markets/binance/bttpax,binance bttpax
61023,binance,btttrx,true,https://api.cryptowat.ch/markets/binance/btttrx,binance btttrx
29777,binance,btttusd,true,https://api.cryptowat.ch/markets/binance/btttusd,binance btttusd
29778,binance,bttusdc,true,https://api.cryptowat.ch/markets/binance/bttusdc,binance bttusdc
29668,binance,bttusdt,true,https://api.cryptowat.ch/markets/binance/bttusdt,binance bttusdt
61701,binance,bullbusd,true,https://api.cryptowat.ch/markets/binance/bullbusd,binance bullbusd
61700,binance,bullusdt,true,https://api.cryptowat.ch/markets/binance/bullusdt,binance bullusdt
61337,binance,busdngn,true,https://api.cryptowat.ch/markets/binance/busdngn,binance busdngn
61493,binance,busdrub,true,https://api.cryptowat.ch/markets/binance/busdrub,binance busdrub
61240,binance,busdusdt,true,https://api.cryptowat.ch/markets/binance/busdusdt,binance busdusdt
1638,binance,cdtbtc,true,https://api.cryptowat.ch/markets/binance/cdtbtc,binance cdtbtc
1782,binance,cdteth,true,https://api.cryptowat.ch/markets/binance/cdteth,binance cdteth
59590,binance,celrbnb,true,https://api.cryptowat.ch/markets/binance/celrbnb,binance celrbnb
59591,binance,celrbtc,true,https://api.cryptowat.ch/markets/binance/celrbtc,binance celrbtc
59592,binance,celrusdt,true,https://api.cryptowat.ch/markets/binance/celrusdt,binance celrusdt
61120,binance,chatbtc,FALSE,https://api.cryptowat.ch/markets/binance/chatbtc,binance chatbtc
61121,binance,chateth,FALSE,https://api.cryptowat.ch/markets/binance/chateth,binance chateth
61035,binance,chzbnb,true,https://api.cryptowat.ch/markets/binance/chzbnb,binance chzbnb
61036,binance,chzbtc,true,https://api.cryptowat.ch/markets/binance/chzbtc,binance chzbtc
61037,binance,chzusdt,true,https://api.cryptowat.ch/markets/binance/chzusdt,binance chzusdt
1097,binance,cloakbtc,FALSE,https://api.cryptowat.ch/markets/binance/cloakbtc,binance cloakbtc
